assignment_id,incident_id,vehicle_id,priority,dispatch_time,vehicle_x_before,vehicle_y_before,incident_x,incident_y,distance,response_time,arrival_time,completion_time,vehicle_quadrant_before,idle_counts_before,idle_counts_after
A0001,I054,V13,2,0,96.55487783573645,17.253623673528086,92.64303765483909,21.72143845536112,5.9383383640248075,5.9383383640248075,5.9383383640248075,13.938338364024808,LOWER_RIGHT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 5, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 5, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 5, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 5}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 5, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 5, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 4, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 5}"
A0002,I030,V20,1,0,96.7225189649379,70.37532141728971,89.7252227330544,57.06963846252741,15.033407912026577,15.033407912026577,15.033407912026577,23.033407912026576,UPPER_RIGHT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 5, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 5, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 4, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 5}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 5, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 5, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 4, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}"
A0003,I002,V07,2,1,23.07447947398914,73.49166101972604,15.43462526047621,68.44818906712905,9.154451471298744,9.154451471298744,10.154451471298744,18.154451471298742,UPPER_LEFT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 5, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 5, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 4, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 5, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 4, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 4, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}"
A0004,I051,V10,2,2,0.10173509482337417,63.72273258273574,15.479080155049708,54.863980737850795,17.7465553094261,17.7465553094261,19.7465553094261,27.7465553094261,UPPER_LEFT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 5, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 4, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 4, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 5, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 3, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 4, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}"
A0005,I070,V08,2,2,43.47050531749778,67.80029846673176,26.440451511712904,64.54877162853995,17.33768033525274,17.33768033525274,19.33768033525274,27.33768033525274,UPPER_LEFT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 5, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 3, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 4, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 5, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 4, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}"
A0006,I078,V05,1,2,15.21676721457254,3.084488400980556,4.853782685736596,5.089592122002928,10.555183052744795,10.555183052744795,12.555183052744795,20.555183052744795,LOWER_LEFT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 5, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 4, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 4, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 4, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}"
A0007,I016,V15,3,3,66.51022109246729,43.513042571602426,74.29712219543717,41.296248934609814,8.09629562308865,8.09629562308865,11.09629562308865,19.09629562308865,LOWER_RIGHT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 4, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 4, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 4, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 3, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}"
A0008,I014,V11,1,3,94.49380928107928,39.75557747389642,96.49350096977827,19.238552624845727,20.61424448061135,20.61424448061135,23.61424448061135,31.61424448061135,LOWER_RIGHT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 4, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 3, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 4, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 2, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}"
A0009,I025,V02,1,3,28.123870633481733,40.40453718438553,9.29933957253468,27.90840778561794,22.594605984953667,22.594605984953667,25.594605984953667,33.59460598495367,LOWER_LEFT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 4, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 2, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 3, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 2, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}"
A0010,I035,V12,1,3,59.021556750511536,15.498199274935615,56.557418570074624,17.252688548626793,3.0249313353833887,3.0249313353833887,6.024931335383389,14.024931335383389,LOWER_RIGHT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 3, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 2, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 3, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 1, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}"
A0011,I022,V19,1,4,73.88803256355993,54.42942308499752,72.54173898200555,60.96057189732197,6.668463932305672,6.668463932305672,10.668463932305672,18.66846393230567,UPPER_RIGHT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 3, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 1, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 4}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 3, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 1, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 3}"
A0012,I046,V01,1,4,33.16164058668624,21.26654373400697,29.57872130135688,24.72582392581519,4.980354410142092,4.980354410142092,8.980354410142091,16.98035441014209,LOWER_LEFT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 3, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 1, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 3}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 2, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 1, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 3}"
A0013,I086,V06,1,4,41.02133847038704,80.33335181772085,35.43935138814288,86.5427439717873,8.349558713448435,8.349558713448435,12.349558713448435,20.349558713448435,UPPER_LEFT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 2, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 2, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 1, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 3}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 2, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 1, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 1, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 3}"
A0014,I045,V18,3,5,89.33241199833944,82.19821250204606,98.06186668156082,99.9713705510925,19.801225368718978,19.801225368718978,24.801225368718978,32.801225368718974,UPPER_RIGHT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 2, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 1, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 1, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 3}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 2, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 1, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 1, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 2}"
A0015,I012,V14,1,5,62.41783715124831,20.337722656804928,79.63340154893571,14.938749257181916,18.042299501470396,18.042299501470396,23.042299501470396,31.042299501470396,LOWER_RIGHT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 2, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 1, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 1, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 2}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 2, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 1, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 0, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 2}"
A0016,I038,V03,1,5,36.391658698480214,27.55131670194802,41.898703978461796,31.796764151122993,6.953515065020977,6.953515065020977,11.953515065020976,19.953515065020976,LOWER_LEFT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 2, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 1, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 0, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 2}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 1, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 1, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 0, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 2}"
A0017,I076,V16,1,6,82.9224120846286,80.815864224765,99.46819239658146,21.809064891000652,61.282666503233514,61.282666503233514,67.28266650323351,75.28266650323351,UPPER_RIGHT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 1, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 1, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 0, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 2}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 1, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 1, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 0, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 1}"
A0018,I064,V04,3,7,37.82982087548189,15.099933181975267,85.6703490508859,21.303336924260375,48.24104428898096,48.24104428898096,55.24104428898096,63.24104428898096,LOWER_LEFT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 1, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 1, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 0, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 1}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 0, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 1, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 0, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 1}"
A0019,I089,V09,2,7,43.88918909530171,84.92741159593373,53.52378108879851,45.643208005156986,40.448411769101014,40.448411769101014,47.448411769101014,55.448411769101014,UPPER_LEFT,"{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 0, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 1, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 0, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 1}","{<Quadrant.LOWER_LEFT: 'LOWER_LEFT'>: 0, <Quadrant.UPPER_LEFT: 'UPPER_LEFT'>: 0, <Quadrant.LOWER_RIGHT: 'LOWER_RIGHT'>: 0, <Quadrant.UPPER_RIGHT: 'UPPER_RIGHT'>: 1}"
